Email,First Name,Last Name,Company,Website,Phone,Address,Title,fitScore,fitLabel,status,sentAt,LinkedIn,Segment,Priority,EmailType,resendId,resendStatus,deliveryStatus,resendCreatedAt,resendScheduledAt,resendLastSyncedAt,resendSubject,resendFrom,resendTo,resendError
info@baysideplumbing.com.au,,,Baysideplumbing,https://baysideplumbing.com.au/?utm_source=google&utm_medium=businesslisting&utm_campaign=local, 0411 724 011,Sydney CBD NSW Australia,Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,e8090b32-8577-4852-aac0-1612caa29fb3,sent,sent,,,,AI Integration & Web growth for Baysideplumbing Sydney CBD NSW Australia?,WP Pro <hello@email.wppro.com.au>,info@baysideplumbing.com.au,
contact@cleanandclearplumbing.com.au,,,Cleanandclearplumbing,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 1300 213 069,", 443 Chapel Rd, Bankstown NSW 2200",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,bc1a8e93-9b9f-494c-91b7-ef1afe0e6b1d,sent,sent,,,,AI Integration & Web growth for Cleanandclearplumbing ?,WP Pro <hello@email.wppro.com.au>,contact@cleanandclearplumbing.com.au,
contact@surryhillsplumbinganddrains.com.au,,,Surryhillsplumbinganddrains,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 0485 828 573,Surry Hills NSW Australia,Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,3cc46a6d-8309-40bc-85f4-cb0a6490b8fc,sent,sent,,,,AI Integration & Web growth for Surryhillsplumbinganddrains Surry Hills NSW Australia?,WP Pro <hello@email.wppro.com.au>,contact@surryhillsplumbinganddrains.com.au,
contact@ngoplumbing.com.au,,,Ngoplumbing,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 0404 646 646,", 566 Crown St, Surry Hills NSW 2010",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,b3943f5f-cb9e-4b97-9353-7aae6b1420d9,sent,sent,,,,AI Integration & Web growth for Ngoplumbing ?,WP Pro <hello@email.wppro.com.au>,contact@ngoplumbing.com.au,
contact@mrplumber.com.au,,,Mrplumber,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 1800 247 474,", 249 Cleveland St, Surry Hills NSW 2010",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,84846ddd-e7a5-4fea-94f9-1036c3ced3f9,sent,sent,,,,AI Integration & Web growth for Mrplumber ?,WP Pro <hello@email.wppro.com.au>,contact@mrplumber.com.au,
contact@civicplumbing.com.au,,,Civicplumbing,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 0410 790 630,", 23 Turner St, Redfern NSW 2016",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,17d701d3-3573-4110-bb3b-c149ed3b6da8,sent,sent,,,,AI Integration & Web growth for Civicplumbing ?,WP Pro <hello@email.wppro.com.au>,contact@civicplumbing.com.au,
contact@karuso.com.au,,,Karuso,/aclk?sa=L&ai=DChsSEwiKmtvzrKuWAxXmLIMDHQszEFMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIiprb86yrlgMV5iyDAx0LMxBTEBAYASAAEgKPefD_BwE&cid=CAASuwHkaCL6g-gEl6j403H2e-bf-9tjUiFe43p4zPrw9jAJ1c5N1LzT89563eSaUCux9oW9aQ1NXFzfVU5Vm2lagY5RaIRsSufsCMso_AO1MU7CTsTxlsjJvTM2LuvQ1suewc4rvNj2ezGecvuOCIpMA7i4NuhrcEcW8LBrrP9CVVnHAb-T4LLTfh4TviO0rCsgFTKCsqVGdc3wOD2sxxfiwGuAXLfeAYI0je0u55G10HE_GIirssiSErzOvL1B&cce=2&category=acrcp_v1_32&sig=AOD64_3L1V54VEAiesf4udBsoFcEzhztag&adurl&q&ctype=99&nis=6, 0401 788 078,", 81-83 Campbell St, Surry Hills NSW 2010",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,9237095c-252d-4ed9-b777-ff323d5a307d,sent,sent,,,,AI Integration & Web growth for Karuso ?,WP Pro <hello@email.wppro.com.au>,contact@karuso.com.au,
contact@swansonplumbing.com.au,,,Swansonplumbing,/aclk?sa=L&ai=DChsSEwjyxfL4rKuWAxUBjGYCHc0DDRAYACICCAEQABoCc20&co=1&ase=2&gclid=EAIaIQobChMI8sXy-KyrlgMVAYxmAh3NAw0QEBAYASAAEgK2t_D_BwE&cid=CAASuwHkaHSRwAHcaq6GXLX8HH7hd99UwAcMgTBb6fkHNNeRUWZaZMCn_kodlNn3PokjuIqF25DmLRmoLFBWtB-1UUwCBXk6zJzlnppqE-t9Jf8w3AlIWTEVIhBPx1LzWW5dUQU7A2QA1U7aBoSOChDuRpMhtxk-1XaY4K-bqtRgizCqHMOislKcdUK4r4X-IJQRIyAiVWpWRsWl_Xb9-65-3jq_Wb12e40LxKyi4ceO4mc6hD1DcOSn4_aEUnKC&cce=2&category=acrcp_v1_32&sig=AOD64_3yr-AU0b-i8IvnQV8uKxbo43qHaA&adurl&q&ctype=99&nis=6, 0402 796 448,", Bunn St, Pyrmont NSW 2009",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,57a91edd-fa4b-4d75-8134-f080b768ebe9,sent,sent,,,,AI Integration & Web growth for Swansonplumbing ?,WP Pro <hello@email.wppro.com.au>,contact@swansonplumbing.com.au,
contact@michaelsrepairingservices.com.au,,,Michaelsrepairingservices,/aclk?sa=L&ai=DChsSEwjyxfL4rKuWAxUBjGYCHc0DDRAYACICCAEQABoCc20&co=1&ase=2&gclid=EAIaIQobChMI8sXy-KyrlgMVAYxmAh3NAw0QEBAYASAAEgK2t_D_BwE&cid=CAASuwHkaHSRwAHcaq6GXLX8HH7hd99UwAcMgTBb6fkHNNeRUWZaZMCn_kodlNn3PokjuIqF25DmLRmoLFBWtB-1UUwCBXk6zJzlnppqE-t9Jf8w3AlIWTEVIhBPx1LzWW5dUQU7A2QA1U7aBoSOChDuRpMhtxk-1XaY4K-bqtRgizCqHMOislKcdUK4r4X-IJQRIyAiVWpWRsWl_Xb9-65-3jq_Wb12e40LxKyi4ceO4mc6hD1DcOSn4_aEUnKC&cce=2&category=acrcp_v1_32&sig=AOD64_3yr-AU0b-i8IvnQV8uKxbo43qHaA&adurl&q&ctype=99&nis=6, 0439 645 142,", 282 Harris St, Pyrmont NSW 2009",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,7c242d37-52ca-4df5-b2ee-903be4d42be9,sent,sent,,,,AI Integration & Web growth for Michaelsrepairingservices ?,WP Pro <hello@email.wppro.com.au>,contact@michaelsrepairingservices.com.au,
contact@acceleratedplumbingsolutions.com.au,,,Acceleratedplumbingsolutions,/aclk?sa=L&ai=DChsSEwjyxfL4rKuWAxUBjGYCHc0DDRAYACICCAEQABoCc20&co=1&ase=2&gclid=EAIaIQobChMI8sXy-KyrlgMVAYxmAh3NAw0QEBAYASAAEgK2t_D_BwE&cid=CAASuwHkaHSRwAHcaq6GXLX8HH7hd99UwAcMgTBb6fkHNNeRUWZaZMCn_kodlNn3PokjuIqF25DmLRmoLFBWtB-1UUwCBXk6zJzlnppqE-t9Jf8w3AlIWTEVIhBPx1LzWW5dUQU7A2QA1U7aBoSOChDuRpMhtxk-1XaY4K-bqtRgizCqHMOislKcdUK4r4X-IJQRIyAiVWpWRsWl_Xb9-65-3jq_Wb12e40LxKyi4ceO4mc6hD1DcOSn4_aEUnKC&cce=2&category=acrcp_v1_32&sig=AOD64_3yr-AU0b-i8IvnQV8uKxbo43qHaA&adurl&q&ctype=99&nis=6, 0408 472 243,", Unit 7/1-5 Harwood St, Pyrmont NSW 2009",Business Owner / Managing Director,92,High,sent,2026-08-19,,Plumbing & Trades,High,Personalized,a76027b7-0364-49a0-a4fa-813462f2c1ee,sent,sent,,,,AI Integration & Web growth for Acceleratedplumbingsolutions ?,WP Pro <hello@email.wppro.com.au>,contact@acceleratedplumbingsolutions.com.au,
